frame_path,mask_path,steering_angle,speed
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00000.jpg,/home/jetson/data/data/masks/mask_00000.jpg,-23.529111785517454,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00001.jpg,/home/jetson/data/data/masks/mask_00001.jpg,-23.529111785517454,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00002.jpg,/home/jetson/data/data/masks/mask_00002.jpg,-23.529111785517454,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00003.jpg,/home/jetson/data/data/masks/mask_00003.jpg,-23.529111785517454,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00004.jpg,/home/jetson/data/data/masks/mask_00004.jpg,-23.529111785517454,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00005.jpg,/home/jetson/data/data/masks/mask_00005.jpg,-23.529111785517454,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00006.jpg,/home/jetson/data/data/masks/mask_00006.jpg,-23.829449477964832,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00007.jpg,/home/jetson/data/data/masks/mask_00007.jpg,-24.623564786163612,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00008.jpg,/home/jetson/data/data/masks/mask_00008.jpg,24.42596552527356,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00009.jpg,/home/jetson/data/data/masks/mask_00009.jpg,23.729490381008294,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00010.jpg,/home/jetson/data/data/masks/mask_00010.jpg,23.328121068060348,30
C:/Code/CapstoneDesign/CapstoneDesign/MakeDataset/data/processed_frames/frame_00011.jpg,/home/jetson/data/data/masks/mask_00011.jpg,23.1265203887488,30
